name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
Carol Jenkins Barnett,1930,groceries,new,North America,1.2,"Retail, Restaurant",angel,0,0,,
Carrie Perrodo,1975,oil,new,Europe,10,Other,angel,0,0,,
Catherine Lozick,1947,manufacturing,new,North America,2,Non-consumer industrial,angel,0,0,,
Cesar Mata Pires,1976,construction,new,Latin America,1.6,Constrution,angel,0,0,,
Chairul Tanjung,1987,investment banking,new,East Asia,4,Diversified financial,angel,0,0,,
Chan Laiwa,1988,real estate,new,East Asia,6,Real Estate,angel,0,0,,
Chanchai Ruayrungruang,1984,real estate,new,East Asia,2,Consumer,angel,0,0,,
Chandru Raheja,1956,real estate,new,South Asia,1.9,Real Estate,angel,0,0,,
Chang Pyung-Soon,1985,education,new,East Asia,1,Other,angel,0,0,,
Chang Yung Fa,1961,shipping,new,East Asia,1.5,Other,angel,0,0,,
Chao Teng-Hsiung,1969,real estate,new,East Asia,1.8,Real Estate,angel,0,0,,
Charlene de Carvalho-Heineken,1864,beer,new,Europe,10.4,Consumer,angel,0,0,,
Charles Brandes,1974,investment banking,new,North America,1.1,Money Management,angel,0,0,,
Charles Bronfman,1857,liquor,new,North America,2.1,Consumer,angel,0,0,,
Charles Butt,1905,groceries,new,North America,10.1,"Retail, Restaurant",angel,0,0,,
Charles Cadogan,1712,real estate,new,Europe,6.9,Real Estate,angel,0,0,,
Charles Dolan,1972,media,new,North America,3.7,Media,angel,0,0,,
Charles Dunstone,1989,cell phones,new,Europe,2.5,Consumer,angel,0,0,,
Charles Ergen,1980,media,new,North America,15,Media,angel,0,0,,
Charles Johnson,1947,mutal funds,new,North America,7.5,Money Management,angel,0,0,,
Charles Koch,1940,  Oil refining,new,North America,40,Diversified financial,angel,0,0,,
Charles Munger,1839, Finance,aquired,North America,1.1,Consumer,angel,0,0,,
Charles Schwab,1971,brokerage/banking,new,North America,5.8,Money Management,angel,0,0,,
Charles Simonyi,1975,software,new,North America,1.3,Technology-Computer,angel,0,0,,
Charles Zegar,1981, finance, new,North America,1.3,Media,angel,0,0,,
Charoen Sirivadhanabhakdi,1941,alcohol,privatization,East Asia,9,Consumer,angel,0,0,,
"Chase Coleman, III.",2000,hedge funds,new,North America,1.6,Hedge funds,angel,0,0,,
Che Fengsheng,2001,pharmaceuticals,new,East Asia,1.8,Technology-Medical,angel,0,0,,
Chee Chen Tung,1969,shipping,new,East Asia,2.8,Other,angel,0,0,,
Chen Bang,0,hospitals,new,East Asia,1.3,Real Estate,angel,0,0,,
Chen Fashu,2000,mining,new,East Asia,2.3,Diversified financial,angel,0,0,,
Chen Jianhua,2002,plastics,new,East Asia,1.4,Non-consumer industrial,angel,0,0,,
Chen Jinxia,1994,pharmaceuticals,new,East Asia,1.8,Diversified financial,angel,0,0,,
Chen Lip Keong,1995,casinos,new,East Asia,1.3,Real Estate,angel,0,0,,
Chen Miaolin,0,hotels,,East Asia,1.1,Real Estate,angel,0,0,,
Chen Tianqiao,1999,entertainment,new,East Asia,1.5,Technology-Computer,angel,0,0,,
Chen Yung-Tai,1965,real estate,new,East Asia,1.5,Real Estate,angel,0,0,,
Chen Zemin,1992,food,new,East Asia,1.1,Consumer,angel,0,0,,
Cheng Yu-tung,1929,real estate,new,East Asia,16.2,Diversified financial,angel,0,0,,
Chey Tae-Won,1958,"petrochemicals, textiles",new,East Asia,2.5,Consumer,angel,0,0,,
Chip Wilson,1998,apparel,new,North America,2.2,Consumer,angel,0,0,,
Cho Tak Wong,1987,auto glass,new,East Asia,1.2,Consumer,angel,0,0,,
Cho Yang-Rai,1941,tire manufacturing,new,East Asia,1.2,Consumer,angel,0,0,,
Choo Chong Ngen,1996,hotels,new,East Asia,1.1,Real Estate,angel,0,0,,
Christian Oetker,1891,retail,new,Europe,1.7,Consumer,angel,0,0,,
Actis,,food & beverages,,London,0,,vc,0,0,act.is,2018-03-13
Christoffel Wiese,1979,consumer retail,aquired,Sub-Saharan Africa,3.2,"Retail, Restaurant",angel,0,0,,
Christoph Henkel,1876,cleaning products,new,Europe,1.6,Consumer,angel,0,0,,
Christopher Burch,2004,fashion,new,North America,1,Consumer,angel,0,0,,
Christopher Cline,1985,coal,new,North America,1.4,Mining and metals,angel,0,0,,
Christopher Goldsbury,1947,salsa,new,North America,1.4,Consumer,angel,0,0,,
Christopher Hohn,2003,hedge funds,new,Europe,1.1,Hedge funds,angel,0,0,,
Isaac Larian,1979,toys,new,North America,1.1,Consumer,angel,0,0,,
Christy Walton,1962, retail, new,North America,36.7,"Retail, Restaurant",angel,0,0,,
Chu Lam Yiu,1990,flavorings,new,East Asia,1.8,Consumer,angel,0,0,,
Chu Mang Yee,1992,real estate,new,East Asia,1.3,Real Estate,angel,0,0,,
Chung Eui-Sun,1967,cars,new,East Asia,3.4,Consumer,angel,0,0,,
Chung Mong-Joon,1967,cars,new,East Asia,1.7,Consumer,angel,0,0,,
Chung Mong-Koo,1967,cars,new,East Asia,6.8,Consumer,angel,0,0,,
Chung Yong-Jin,1930,retail,subsidiary,East Asia,1.3,"Retail, Restaurant",angel,0,0,,
Ciputra,1961,real estate,new,East Asia,1.3,Real Estate,angel,0,0,,
